,heat
1569283200,80.0
1569284100,80.0
1569285000,80.0
1569285900,80.0
1569286800,20.0
1569287700,20.0
1569288600,20.0
1569289500,20.0
1569290400,20.0
1569291300,20.0
1569292200,20.0
1569293100,20.0
1569294000,0.0
1569294900,0.0
1569295800,0.0
1569296700,0.0
1569297600,19740.0
1569298500,19740.0
1569299400,19740.0
1569300300,19740.0
1569301200,7900.0
1569302100,7900.0
1569303000,7900.0
1569303900,7900.0
1569304800,19160.0
1569305700,19160.0
1569306600,19160.0
1569307500,19160.0
1569308400,22880.0
1569309300,22880.0
1569310200,22880.0
1569311100,22880.0
1569312000,12260.0
1569312900,12260.0
1569313800,12260.0
1569314700,12260.0
1569315600,4900.0
1569316500,4900.0
1569317400,4900.0
1569318300,4900.0
1569319200,1960.0
1569320100,1960.0
1569321000,1960.0
1569321900,1960.0
1569322800,780.0
1569323700,780.0
1569324600,780.0
1569325500,780.0
1569326400,320.0
1569327300,320.0
1569328200,320.0
1569329100,320.0
1569330000,120.0
1569330900,120.0
1569331800,120.0
1569332700,120.0
1569333600,60.0
1569334500,60.0
1569335400,60.0
1569336300,60.0
1569337200,20.0
1569338100,20.0
1569339000,20.0
1569339900,20.0
1569340800,0.0
1569341700,0.0
1569342600,0.0
1569343500,0.0
1569344400,0.0
1569345300,0.0
1569346200,0.0
1569347100,0.0
1569348000,0.0
1569348900,0.0
1569349800,0.0
1569350700,0.0
1569351600,0.0
1569352500,0.0
1569353400,0.0
1569354300,0.0
1569355200,6000.0
1569356100,6000.0
1569357000,6000.0
1569357900,6000.0
1569358800,12360.0
1569359700,12360.0
1569360600,12360.0
1569361500,12360.0
1569362400,15320.0
1569363300,15320.0
1569364200,15320.0
1569365100,15320.0
1569366000,6140.0
1569366900,6140.0
1569367800,6140.0
1569368700,6140.0
1569369600,2460.0
1569370500,2460.0
1569371400,2460.0
1569372300,2460.0
1569373200,6580.0
1569374100,6580.0
1569375000,6580.0
1569375900,6580.0
1569376800,11720.0
1569377700,11720.0
1569378600,11720.0
1569379500,11720.0
1569380400,4680.0
1569381300,4680.0
1569382200,4680.0
1569383100,4680.0
1569384000,1880.0
1569384900,1880.0
1569385800,1880.0
1569386700,1880.0
1569387600,740.0
1569388500,740.0
1569389400,740.0
1569390300,740.0
1569391200,17620.0
1569392100,17620.0
1569393000,17620.0
1569393900,17620.0
1569394800,29700.0
1569395700,29700.0
1569396600,29700.0
1569397500,29700.0
1569398400,24320.0
1569399300,24320.0
1569400200,24320.0
1569401100,24320.0
1569402000,9720.0
1569402900,9720.0
1569403800,9720.0
1569404700,9720.0
1569405600,3900.0
1569406500,3900.0
1569407400,3900.0
1569408300,3900.0
1569409200,1560.0
1569410100,1560.0
1569411000,1560.0
1569411900,1560.0
1569412800,620.0
1569413700,620.0
1569414600,620.0
1569415500,620.0
1569416400,240.0
1569417300,240.0
1569418200,240.0
1569419100,240.0
1569420000,100.0
1569420900,100.0
1569421800,100.0
1569422700,100.0
1569423600,40.0
1569424500,40.0
1569425400,40.0
1569426300,40.0
1569427200,20.0
1569428100,20.0
1569429000,20.0
1569429900,20.0
1569430800,0.0
1569431700,0.0
1569432600,0.0
1569433500,0.0
1569434400,0.0
1569435300,0.0
1569436200,0.0
1569437100,0.0
1569438000,0.0
1569438900,0.0
1569439800,0.0
1569440700,0.0
1569441600,0.0
1569442500,0.0
1569443400,0.0
1569444300,0.0
1569445200,0.0
1569446100,0.0
1569447000,0.0
1569447900,0.0
1569448800,0.0
1569449700,0.0
1569450600,0.0
1569451500,0.0
1569452400,0.0
1569453300,0.0
1569454200,0.0
1569455100,0.0
1569456000,0.0
1569456900,0.0
1569457800,0.0
1569458700,0.0
1569459600,19320.0
1569460500,19320.0
1569461400,19320.0
1569462300,19320.0
1569463200,31900.0
1569464100,31900.0
1569465000,31900.0
1569465900,31900.0
1569466800,30520.0
1569467700,30520.0
1569468600,30520.0
1569469500,30520.0
1569470400,12200.0
1569471300,12200.0
1569472200,12200.0
1569473100,12200.0
1569474000,4880.0
1569474900,4880.0
1569475800,4880.0
1569476700,4880.0
1569477600,1960.0
1569478500,1960.0
1569479400,1960.0
1569480300,1960.0
1569481200,780.0
1569482100,780.0
1569483000,780.0
1569483900,780.0
1569484800,320.0
1569485700,320.0
1569486600,320.0
1569487500,320.0
1569488400,120.0
1569489300,120.0
1569490200,120.0
1569491100,120.0
1569492000,60.0
1569492900,60.0
1569493800,60.0
1569494700,60.0
1569495600,20.0
1569496500,20.0
1569497400,20.0
1569498300,20.0
1569499200,0.0
1569500100,0.0
1569501000,0.0
1569501900,0.0
1569502800,0.0
1569503700,0.0
1569504600,0.0
1569505500,0.0
1569506400,20020.0
1569507300,20020.0
1569508200,20020.0
1569509100,20020.0
1569510000,29620.0
1569510900,29620.0
1569511800,29620.0
1569512700,29620.0
1569513600,11840.0
1569514500,11840.0
1569515400,11840.0
1569516300,11840.0
1569517200,4740.0
1569518100,4740.0
1569519000,4740.0
1569519900,4740.0
1569520800,1900.0
1569521700,1900.0
1569522600,1900.0
1569523500,1900.0
1569524400,760.0
1569525300,760.0
1569526200,760.0
1569527100,760.0
1569528000,300.0
1569528900,300.0
1569529800,300.0
1569530700,300.0
1569531600,120.0
1569532500,120.0
1569533400,120.0
1569534300,120.0
1569535200,40.0
1569536100,40.0
1569537000,40.0
1569537900,40.0
1569538800,4380.0
1569539700,4380.0
1569540600,4380.0
1569541500,4380.0
1569542400,1740.0
1569543300,1740.0
