,COP100_heat
1563840000,378.0
1563840900,378.0
1563841800,378.0
1563842700,378.0
1563843600,378.0
1563844500,378.0
1563845400,378.0
1563846300,378.0
1563847200,378.0
1563848100,378.0
1563849000,378.0
1563849900,378.0
1563850800,378.0
1563851700,378.0
1563852600,378.0
1563853500,378.0
1563854400,378.0
1563855300,378.0
1563856200,378.0
1563857100,378.0
1563858000,378.0
1563858900,378.0
1563859800,378.0
1563860700,378.0
1563861600,378.0
1563862500,378.0
1563863400,378.0
1563864300,378.0
1563865200,378.0
1563866100,378.0
1563867000,378.0
1563867900,378.0
1563868800,378.0
1563869700,378.0
1563870600,378.0
1563871500,378.0
1563872400,378.0
1563873300,378.0
1563874200,378.0
1563875100,378.0
1563876000,378.0
1563876900,378.0
1563877800,378.0
1563878700,378.0
1563879600,378.0
1563880500,378.0
1563881400,378.0
1563882300,378.0
1563883200,378.0
1563884100,378.0
1563885000,378.0
1563885900,378.0
1563886800,378.0
1563887700,378.0
1563888600,378.0
1563889500,378.0
1563890400,378.0
1563891300,378.0
1563892200,378.0
1563893100,378.0
1563894000,378.0
1563894900,378.0
1563895800,378.0
1563896700,378.0
1563897600,378.0
1563898500,378.0
1563899400,378.0
1563900300,378.0
1563901200,378.0
1563902100,378.0
1563903000,378.0
1563903900,378.0
1563904800,378.0
1563905700,378.0
1563906600,378.0
1563907500,378.0
1563908400,378.0
1563909300,378.0
1563910200,378.0
1563911100,378.0
1563912000,378.0
1563912900,378.0
1563913800,378.0
1563914700,378.0
1563915600,378.0
1563916500,378.0
1563917400,378.0
1563918300,378.0
1563919200,378.0
1563920100,378.0
1563921000,378.0
1563921900,378.0
1563922800,378.0
1563923700,378.0
1563924600,378.0
1563925500,378.0
1563926400,378.0
1563927300,378.0
1563928200,378.0
1563929100,378.0
1563930000,378.0
1563930900,378.0
1563931800,378.0
1563932700,378.0
1563933600,378.0
1563934500,378.0
1563935400,378.0
1563936300,378.0
1563937200,378.0
1563938100,378.0
1563939000,378.0
1563939900,378.0
1563940800,378.0
1563941700,378.0
1563942600,378.0
1563943500,378.0
1563944400,378.0
1563945300,378.0
1563946200,378.0
1563947100,378.0
1563948000,378.0
1563948900,378.0
1563949800,378.0
1563950700,378.0
1563951600,378.0
1563952500,378.0
1563953400,378.0
1563954300,378.0
1563955200,378.0
1563956100,378.0
1563957000,378.0
1563957900,378.0
1563958800,378.0
1563959700,378.0
1563960600,378.0
1563961500,378.0
1563962400,378.0
1563963300,378.0
1563964200,378.0
1563965100,378.0
1563966000,378.0
1563966900,378.0
1563967800,378.0
1563968700,378.0
1563969600,378.0
1563970500,378.0
1563971400,378.0
1563972300,378.0
1563973200,378.0
1563974100,378.0
1563975000,378.0
1563975900,378.0
1563976800,319.0
1563977700,319.0
1563978600,319.0
1563979500,319.0
1563980400,319.0
1563981300,319.0
1563982200,319.0
1563983100,319.0
1563984000,319.0
1563984900,319.0
1563985800,319.0
1563986700,319.0
1563987600,319.0
1563988500,319.0
1563989400,319.0
1563990300,319.0
1563991200,319.0
1563992100,319.0
1563993000,319.0
1563993900,319.0
1563994800,319.0
1563995700,319.0
1563996600,319.0
1563997500,319.0
1563998400,319.0
1563999300,319.0
1564000200,319.0
1564001100,319.0
1564002000,436.00000000000006
1564002900,436.00000000000006
1564003800,436.00000000000006
1564004700,436.00000000000006
1564005600,436.00000000000006
1564006500,436.00000000000006
1564007400,436.00000000000006
1564008300,436.00000000000006
1564009200,436.00000000000006
1564010100,436.00000000000006
1564011000,436.00000000000006
1564011900,436.00000000000006
1564012800,436.00000000000006
1564013700,436.00000000000006
1564014600,436.00000000000006
1564015500,436.00000000000006
1564016400,436.00000000000006
1564017300,436.00000000000006
1564018200,436.00000000000006
1564019100,436.00000000000006
1564020000,436.00000000000006
1564020900,436.00000000000006
1564021800,436.00000000000006
1564022700,436.00000000000006
1564023600,436.00000000000006
1564024500,436.00000000000006
1564025400,436.00000000000006
1564026300,436.00000000000006
1564027200,436.00000000000006
1564028100,436.00000000000006
1564029000,436.00000000000006
1564029900,436.00000000000006
1564030800,436.00000000000006
1564031700,436.00000000000006
1564032600,436.00000000000006
1564033500,436.00000000000006
1564034400,436.00000000000006
1564035300,436.00000000000006
1564036200,436.00000000000006
1564037100,436.00000000000006
1564038000,436.00000000000006
1564038900,436.00000000000006
1564039800,436.00000000000006
1564040700,436.00000000000006
1564041600,436.00000000000006
1564042500,436.00000000000006
1564043400,436.00000000000006
1564044300,436.00000000000006
1564045200,436.00000000000006
1564046100,436.00000000000006
1564047000,436.00000000000006
1564047900,436.00000000000006
1564048800,436.00000000000006
1564049700,436.00000000000006
1564050600,436.00000000000006
1564051500,436.00000000000006
1564052400,436.00000000000006
1564053300,436.00000000000006
1564054200,436.00000000000006
1564055100,436.00000000000006
1564056000,436.00000000000006
1564056900,436.00000000000006
1564057800,436.00000000000006
1564058700,436.00000000000006
1564059600,436.00000000000006
1564060500,436.00000000000006
1564061400,436.00000000000006
1564062300,436.00000000000006
1564063200,436.00000000000006
1564064100,436.00000000000006
1564065000,436.00000000000006
1564065900,436.00000000000006
1564066800,436.00000000000006
1564067700,436.00000000000006
1564068600,436.00000000000006
1564069500,436.00000000000006
1564070400,436.00000000000006
1564071300,436.00000000000006
1564072200,436.00000000000006
1564073100,436.00000000000006
1564074000,436.00000000000006
1564074900,436.00000000000006
1564075800,436.00000000000006
1564076700,436.00000000000006
1564077600,436.00000000000006
1564078500,436.00000000000006
1564079400,436.00000000000006
1564080300,436.00000000000006
1564081200,436.00000000000006
1564082100,436.00000000000006
1564083000,436.00000000000006
1564083900,436.00000000000006
1564084800,436.00000000000006
1564085700,436.00000000000006
1564086600,436.00000000000006
1564087500,436.00000000000006
1564088400,436.00000000000006
1564089300,436.00000000000006
1564090200,436.00000000000006
1564091100,436.00000000000006
1564092000,436.00000000000006
1564092900,436.00000000000006
1564093800,436.00000000000006
1564094700,436.00000000000006
1564095600,436.00000000000006
1564096500,436.00000000000006
1564097400,436.00000000000006
1564098300,436.00000000000006
1564099200,436.00000000000006
1564100100,436.00000000000006
1564101000,436.00000000000006
1564101900,436.00000000000006
1564102800,436.00000000000006
1564103700,436.00000000000006
1564104600,436.00000000000006
1564105500,436.00000000000006
1564106400,436.00000000000006
1564107300,436.00000000000006
1564108200,436.00000000000006
1564109100,436.00000000000006
1564110000,436.00000000000006
1564110900,436.00000000000006
1564111800,436.00000000000006
1564112700,436.00000000000006
1564113600,436.00000000000006
1564114500,436.00000000000006
1564115400,436.00000000000006
1564116300,436.00000000000006
1564117200,436.00000000000006
1564118100,436.00000000000006
1564119000,436.00000000000006
1564119900,436.00000000000006
1564120800,436.00000000000006
1564121700,436.00000000000006
1564122600,436.00000000000006
1564123500,436.00000000000006
1564124400,451.99999999999994
