,power
1573516800,232
1573517700,215
1573518600,223
1573519500,219
1573520400,204
1573521300,163
1573522200,173
1573523100,185
1573524000,186
1573524900,187
1573525800,228
1573526700,243
1573527600,228
1573528500,200
1573529400,201
1573530300,216
1573531200,280
1573532100,414
1573533000,383
1573533900,906
1573534800,1040
1573535700,1371
1573536600,1369
1573537500,1365
1573538400,1290
1573539300,3511
1573540200,2263
1573541100,564
1573542000,378
1573542900,279
1573543800,274
1573544700,259
1573545600,238
1573546500,262
1573547400,254
1573548300,262
1573549200,442
1573550100,588
1573551000,557
1573551900,311
1573552800,403
1573553700,374
1573554600,285
1573555500,398
1573556400,478
1573557300,427
1573558200,302
1573559100,215
1573560000,215
1573560900,228
1573561800,219
1573562700,252
1573563600,243
1573564500,218
1573565400,232
1573566300,198
1573567200,227
1573568100,246
1573569000,242
1573569900,342
1573570800,355
1573571700,331
1573572600,269
1573573500,890
1573574400,1400
1573575300,1574
1573576200,1497
1573577100,1623
1573578000,1235
1573578900,3524
1573579800,2119
1573580700,1033
1573581600,815
1573582500,599
1573583400,697
1573584300,678
1573585200,369
1573586100,449
1573587000,375
1573587900,371
1573588800,360
1573589700,369
1573590600,420
1573591500,352
1573592400,347
1573593300,287
1573594200,294
1573595100,321
1573596000,292
1573596900,292
1573597800,254
1573598700,204
1573599600,213
1573600500,204
1573601400,177
1573602300,152
1573603200,154
1573604100,159
1573605000,157
1573605900,131
1573606800,236
1573607700,229
1573608600,189
1573609500,177
1573610400,188
1573611300,176
1573612200,208
1573613100,155
1573614000,174
1573614900,165
1573615800,171
1573616700,158
1573617600,199
1573618500,205
1573619400,424
1573620300,1225
1573621200,1529
1573622100,1463
1573623000,1503
1573623900,1425
1573624800,1057
1573625700,2770
1573626600,3452
1573627500,691
1573628400,339
1573629300,333
1573630200,327
1573631100,321
1573632000,381
1573632900,242
1573633800,276
1573634700,375
1573635600,319
1573636500,412
1573637400,370
1573638300,363
1573639200,463
1573640100,425
1573641000,297
1573641900,269
1573642800,325
1573643700,200
1573644600,225
1573645500,241
1573646400,199
1573647300,208
1573648200,357
1573649100,311
1573650000,231
1573650900,257
1573651800,221
1573652700,281
1573653600,248
1573654500,189
1573655400,183
1573656300,314
1573657200,219
1573658100,255
1573659000,299
1573659900,1319
1573660800,1363
1573661700,1329
1573662600,1467
1573663500,1750
1573664400,1603
1573665300,3584
1573666200,1908
1573667100,851
1573668000,818
1573668900,623
1573669800,838
1573670700,580
1573671600,335
1573672500,425
1573673400,331
1573674300,318
1573675200,306
1573676100,271
1573677000,276
1573677900,284
1573678800,241
1573679700,217
1573680600,192
1573681500,190
1573682400,194
1573683300,180
1573684200,180
1573685100,148
1573686000,159
1573686900,173
1573687800,188
1573688700,197
1573689600,166
1573690500,196
1573691400,219
1573692300,195
1573693200,154
1573694100,146
1573695000,145
1573695900,149
1573696800,180
1573697700,179
1573698600,228
1573699500,211
1573700400,175
1573701300,198
1573702200,174
1573703100,152
1573704000,175
1573704900,331
1573705800,370
1573706700,891
1573707600,1271
1573708500,1348
1573709400,1357
1573710300,1115
1573711200,2653
1573712100,3456
1573713000,1241
1573713900,398
1573714800,439
1573715700,256
1573716600,267
1573717500,287
1573718400,323
1573719300,319
1573720200,620
1573721100,669
1573722000,334
1573722900,292
1573723800,254
1573724700,232
1573725600,261
1573726500,238
1573727400,299
1573728300,312
1573729200,339
1573730100,307
1573731000,260
1573731900,267
1573732800,299
1573733700,320
1573734600,211
1573735500,225
1573736400,233
1573737300,265
1573738200,223
1573739100,212
1573740000,253
1573740900,202
1573741800,212
1573742700,332
1573743600,202
1573744500,217
1573745400,579
1573746300,1334
1573747200,1349
1573748100,1373
1573749000,1424
1573749900,1229
1573750800,3222
1573751700,2248
1573752600,1137
1573753500,734
1573754400,298
1573755300,245
1573756200,219
1573757100,342
1573758000,449
1573758900,454
1573759800,314
1573760700,355
1573761600,310
1573762500,304
1573763400,439
1573764300,205
1573765200,203
1573766100,217
1573767000,207
1573767900,234
1573768800,166
1573769700,184
1573770600,192
1573771500,187
1573772400,163
1573773300,169
1573774200,152
1573775100,207
1573776000,152
1573776900,144
1573777800,183
1573778700,186
1573779600,173
1573780500,183
1573781400,190
1573782300,196
1573783200,187
1573784100,187
1573785000,165
1573785900,141
1573786800,149
1573787700,180
1573788600,213
1573789500,171
1573790400,306
1573791300,579
1573792200,486
1573793100,1178
1573794000,1542
1573794900,1382
1573795800,1429
1573796700,1531
1573797600,3963
1573798500,2596
1573799400,1097
1573800300,387
1573801200,347
